url,description,name
,"The IBM Ph.D. Fellowship Award is an annual, worldwide competitive 
program. Mr. Bingsheng HE, a PhD candidate of the Department of Computer 
Science and Engineering, HKUST, has been awarded this fellowship for the 
2007-08 Academic Year. Bingsheng got his Bachelor's degree in Computer 
Science from Shanghai Jiao Tong University. His research interests are in 
database systems, particularly cache-centric query processing 
techniques.,The IBM Ph.D. Fellowship honors exceptional Ph.D. students in various 
areas of study such as computer science and engineering, electrical and 
mechanical engineering. IBM pays special attention to an array of focus 
areas of interest to IBM and fundamental to innovation, including business 
value (services and software to improve business performance), 
infrastructure value (hardware, software and services integrated into an 
open and computing environment) and exploratory computing technology.,Award recipients are selected based on their overall potential for 
research excellence, the degree to which their technical interests align 
with those of IBM, and their progress to-date.,IBM Ph.D. Fellows are awarded tuition, fees, and a stipend of $17,500 
(US) for one academic year. All IBM Ph.D. Fellows are matched with an IBM 
Mentor according to their technical interests, and they are encouraged to 
intern at an IBM research or development laboratory under their Mentor's 
guidance. An IBM ThinkPad is awarded during the internship. Internship 
assignments are designed to strengthen and broaden the Awardee's technical 
experience and contacts., I am very happy to receive such a 
competitive award from IBM. First of all, I thank my supervisor, Dr. Luo, 
who nominated me for this award. I am grateful to Prof. Ni and Dr. Golin 
for their kind help in my application. Further, I would like to thank my 
family members for their support in my life. With the award, I will 
continue my research on database systems and also seek opportunity of 
cooperation with IBM China or abroad."" Bingsheng said.",IBM Ph.D. Fellowship Program 2007/2008
," has launched the , again this year. 
HKUST is the first institution to provide computer science (CS) and 
information technology (IT) programs under the , Support Measures for the Exceptionally 
Gifted Students Scheme. This course serves to introduce the fun and 
challenge of CS and IT to exceptionally gifted secondary school students 
through working on a programming-oriented group project under guidance. 
Its dual objectives are to expose students to the scientific foundations 
of CS and to give them ample opportunities to gain hands-on experience in 
using IT in creative ways to solve problems encountered in daily life.,The program will benefit approximately 40 students talented in IT, 
science or mathematics who are currently studying within the Form 3 to 
Form 7 age-range. They can choose to work on different group projects, 
including smartphone application development, computer game systems, data 
visualization, decryption of historical ciphers, and 3D Model 
co-visualization. Under the supervision of professors and tutors, each 
group of students will meet once a month and work together on their 
projects in a fun and educational manner. On completion of the five-month 
course, a round-up summer camp will be held at HKUST during which the 
groups will give presentations on their achievements and exchange 
experiences.,To kick off the program, an opening ceremony was held at HKUST on 14 
April 2007 (Sat).,Read More information about the ,.","Information Technology Enrichment Project Course for Gifted Students 
2007"
,"The Department of Computer Science and Engineering of HKUST co-found 
the Global RF Lab Alliance (GRFLA) with the University of Arkansas' RFID 
Research Center in the United States, the RFID Lab at Italy's University 
of Parma and the University of Bremen's LogDynamics Lab in Germany.,See ,.",Global RF Lab Alliance (GRFLA)
,"HKUST has done good again in 2002/2003 RGC. We have the most success 
rate (64%) and the most number of awards (165). In HKUST, our department 
is doing well too. In SENG, we have the highest success rate 71% (20 out 
of 28) and the most number of awards (tied with EEE).,8 July 2002",RGC Awards
,"Dr. Albert C.S. Chung, Assistant Professor of Computer Science, is the 
winner of the 2002 British Machine Vision Association (BMVA) Sullivan 
Thesis Award.,A prize fund was established by BMVA to commemorate the contribution 
made by the late Professor Geoff Sullivan to the advancement of the field 
of Computer Vision in the United Kingdom. The prize is considered for 
award, on an annual basis, to the best doctoral thesis submitted to a UK 
University, in the field of computer or natural vision.,An expert in medical image processing, Dr. Chung received his M.Phil. 
degree in Computer Science from HKUST in 1998 and D.Phil degree in 
Engineering Science from University of Oxford in 2001.,12 July 2002",BMVA Sullivan Thesis Award
,,Announcement of New Head in Computer Science Department
,"SIGGRAPH is the most prestigious conference in the field of Computer 
Graphics and Interactive Techniques in the world. This year, the 
conference will be held from August 5 - 9 in San Diego, California, USA. 
The SIGGRAPH Papers program is the premier international forum for 
disseminating new scholarly work in computer graphics. This year the 
Papers Committee accepted 108 papers. These papers span the core areas of 
modeling, animation, rendering, and imaging, but they also touch on 
related areas such as visualization, computer vision, human-computer 
interaction, and applications of computer graphics.,Getting a research paper published in SIGGRAPH is the dream of every 
computer graphics graduate student. In recent years, the group of 
Computer Vision and Graphics of the Department of Computer Science and 
Engineering has been consistently publishing in this annual gathering. We 
are most delighted that 6 papers from the HKUST team are going to be 
published in SIGGRAPGH 2007. As far as we know, HKUST is the only 
tertiary institution from Hong Kong with more than one paper published 
this year.,Read more about ,.","SIGGRAPH 2007: The 34th International Conference on Computer Graphics 
and Interactive Techniques"
,"EE Times, a leading magazine providing industry source to engineers and 
technical managers, highlighted a research effort from our EEE and CS 
faculty on August 20, 2002. The headline ""Researchers offer alternative to 
typical crossbar design"" covers a technical paper presented at the Hot 
Chips conference (August 19 in Palo Alto, California) by researchers Ting 
Wu (EEE PG student), Chi-Ying Tsui (EEE faculty) and Mounir Hamdi (CS 
faculty) from Hong Kong University of Science and Technology (China). This 
is another evidence of our research results which have impact on industry. 
, at EE Times.",EEE/CS Faculty on News
,"Dr. Michael Brown is selected to receive the Engineering Teaching 
Excellence Appreciation Award in Spring 2002. He is amongst one of the 
five recipients of this award, which is given in recognition of the 
teaching dedication of selected faculty members based on nominations made 
by departments.,An award presentation ceremony was held in the recent Engineering 
School Board meeting dated October 25, 2002, in which awardees were 
presented with souvenirs as a token of appreciation of their good 
work.,October 29, 2002","CS Faculty Receives Engineering Teaching Excellence Appreciation 
Award"
,"Computer Science PG students, Jihui Zhang and Dickson Tong, were recently
awarded the 2002 Microsoft Fellowship. This highly selective and prestigious
award is given by Microsoft Research Asia. 18 students received the award this
year. Among the 18, 14 were given to students in China, two to HKUST, one to
University of Tokyo, and one to Malaysia. Miss Zhang is a PhD student working
with Prof. Bo Li and Mr. Tong is a PhD student working with Prof. C.K.
Tang.",HKUST Students Won Microsoft Fellowship Again!
,", a PhD candidate of the Department of 
Computer Science,has been awarded the Best PhD Paper of the 4th ACM 
Postgraduate Research Day. “The award is not only an honor to me, 
but also to our department and the university. I am glad to have this 
opportunity to share the research experience with the PG students and 
researchers from other universities. I wish to express my gratitude to my 
advisor, ,, not only for his guidance on 
the award-winning paper, but also his guidance on how to do research for 
pursuing a PhD degree.”,The Postgraduate Research Day is an annual event organized by the 
Association for Computing Machinery -- Hong Kong Chapter (ACM-HK). This 
year, it was held at the Hong Kong Polytechnic University on 25th January. 
It aims at fostering an environment to promote closer interactions among 
postgraduates and for a better R&D awareness in Hong Kong. It provides 
an excellent opportunity for computer science/engineering postgraduates 
from all universities in Hong Kong to present their recent research 
findings, share their invaluable research experiences and ideas, gain 
exposure in conference, and foster collaborations.,ACM is the world's oldest and largest educational and scientific 
computing society. Since 1947, it has provided a vital forum for the 
exchange of information, ideas, and discoveries. Today, ACM serves a 
membership of more than 80,000 computing professionals in more than 100 
countries in all areas of industry, academia, and government.","Best PhD Paper Award,
The 4th ACM Postgraduate Research Day"
,"Intervarsity Internet Technologies Exposition and Conference (IiTEC) is 
an annual event organized for talented students from different tertiary 
institutions to display their ingenious Final Year Projects (FYP) in a 
high-profile and public occasion to capture business opportunities created 
therein. IiTEC 2003 was organized by the Junior Committee of Internet 
Professionals Association (iProA) and co-organized by six local tertiary 
institutions.,Our FYP ""Mobile Commerce — Digital Meeting Support System"", 
developed by Hung Lau Yung, Ip Tak Shun, Siu Po Wa and supervised by Prof. 
Samuel Chanson, has won the Best Application of Internet Technologies 
Award. The prize presentation ceremony was held on 19th July, 2003 and 
followed by a 2-day exhibition and presentation of the projects 
participating in the event.,With the increasing popularity and processing power of PDA and demand 
on distributed meeting support system, this project aims at leading the 
trend of virtual meeting by suggesting a distributed and paperless meeting 
paradigm which preserves features of real time and interactive face to 
face meeting.,The system increases meeting efficiency by providing user friendly 
interface to do real time message exchange, slide show, document sharing 
and co-editing. Breaking the traditional view on meeting which restricts 
mobility of participants, the systems allows user to join the meeting 
anywhere by advanced wireless mobile technology.","Intervarsity Internet Technologies Exposition and Conference (IiTEC)
2003"
,"Dr. Yufei Tao, a recent Computer Science PhD student, received the Hong 
Kong Young Scientists Award at the 10th Annual Conference of the Hong Kong 
Institution of Science (HKIS).,This prestigious award was instituted to stimulate the interest of 
young people in science.,The HKIS selected winners from three different categories:,Dr. Tao won the award in physical and mathematical science for his work 
on spatio-temporal data. Dr. Tao received his PhD in Computer Science in 
July 2002 under the supervision of Prof. Dimitris Papadias. He is 
currently a Visiting Scientist at Carnegie Mellon University.,8 Nov 2002",HKIS Young Scientist Award 2002
,"Prof. Samuel Chanson & Prof. Andrew Horner of the Department of 
Computer Science have recently received The Best 10 Lecturers Award 
presented by the student association — VERTEX, the House II Students 
Association.,This election has been held for 8 consecutive years. It is an 
independent initiative of the students to vote for the best lecturers in 
their minds and express their gratitude for teacher's effort and 
enthusiasms in education.,The election was held from 2nd to 6th December, 2002. A total of 2,600 
students had voted in the election. And a presentation ceremony was held 
on 13th February 2003.,Prof. Chanson and Prof. Horner are two of the 10 recipients of the 
award. And it is even the 4th time for Prof. Horner to be elected the Best 
10 Lecturers Award.,Now let's share the views of Prof. Chanson and Prof. Horner as the best 
lecturers., A good teacher must give teaching 
the highest priority. We must spend enough time in preparing for lectures 
and labs and must try to know the students, answering their questions, 
encouraging them to raise questions and discuss related problems with 
them. A good teacher should be kind but fair and firm."" — , The most important thing for a good 
teacher is to communicate with and get related to the students, knowing 
what they are really interested in. Rehearsal for lecture can help a lot 
too. Cross — disciplinary study can help to bring in new insights to 
the students."" — ",The Best 10 Lecturers Election 2002
,"The International Database Engineering and Application Symposium 
(IDEAS) met for the first time in Hong Kong at HKUST. The event was held 
from July 16 to 18, and Professor Wilfred Ng of the Department of Computer 
Science was the Program Co-chair of the symposium.,IDEAS focuses on the rapid and continuous expansion and diversification 
of database applications. It has been held annually since 1997 in Canada, 
France, Japan, and the UK. It attracts participants from governmental and 
non-governmental agencies, industries, and academia to exchange ideas and 
share experiences on engineering databases.,Following the tradition of previous IDEAS symposia, IDEAS'03, included 
high-quality papers on applied technological and theoretical aspects of 
database engineering and applications. The event attracted more than 60 
participants, including 12 professors from the Chinese Mainland. It was 
sponsored by the ACM Hong Kong Computer Chapter, the IEEE Hong Kong 
Computer Chapter, the K.C. Wong Education Foundation, Hong Kong 
Polytechnic University, and the City University of Hong Kong.,During the three-day program, participants presented and discussed the 
problems of engineering modern database systems, such as XML query 
processing and data modelling, as well as the related areas in database 
applications, such as web data mining, multimedia, human machine interface 
and communication. For more detailed information please visit the ,.","International Database Engineering and Application Symposium 
(IDEAS)"
,"Mobile Multimedia Communications Design Contest (MMCDC) 2003, organized 
by the Hong Kong Institution of Engineers (HKIE), aims at encouraging and 
recognizing young talents to design smart wireless applications by taking 
the fullest advantages of the latest mobile multimedia communications 
technologies. It is the second year for HKIE to organize the Contest, and 
the prize presentation ceremony was held on August 27, 2003 at Island 
Shangri-La Hotel.,, PhD candidate of the Department, with 
the joint effort of Mr. Geng Chunya (MPhil, Department of Physics & 
Materials Science, City University of Hong Kong) and Miss Lai Meng (PDip 
in Common Law, Faculty of Law, The University of Hong Kong), has designed 
the Mobile E-credit Card System (MECS). , of 
the Department is the academic advisor of the project. The project has 
received the Gold Award, the most prestigious honor of the Contest.,Apart from the cash prize of HK$30,000, the team has been awarded a 
2-year rent free period at the Incubation Centre of the Hong Kong Science 
& Technology Parks to set up their business., is designed to integrate 
all necessary functions in personal financing service. It includes 
""Real-time"" Credit Transaction subsystem (RCTsubS) and ""Infinite"" Finance 
Management subsystem (IFMsubS), which will bring many benefits to 
people’s life with an entirely new idea and great convenience. One 
of the attracting points of the system is that it can be installed to many 
kinds of personal wireless terminals such as colour mobile phone (Motorola 
T720), PDA (Palm), and so on.,Read more details of the ,.",Mobile Multimedia Communications Design Contest 2003
,"The 11th Congregation was held on November 5 to 7, 2003. Each year, the 
university will present the Academic Achievement Award to honor the 
students who have outstanding academic performance. The selected students 
must have maintained a Cumulative Grade Average of at least 10.75 out of a 
possible 12, equivalent to a solid A average throughout their 
undergraduate studies and with no course failures.,This year, 15 students from different schools were awarded the Academic 
Achievement Award, among which, 6 were coming from the Department of 
Computer Science and 1 was studying Electronic Engineering with a major in 
Computer Science. The awardees are,,Let us share the feeling of 2 of the awardees, Ip Tak Shun and Siu Po
Wa., I am very glad to receive the 
Academic Achievement Award, which recognizes my achievement in HKUST. I 
would like to take this opportunity to thank the professors of the 
Department of Computer Science for their dedicated teaching, which 
inspired my interest in the field of computer science. , Without the support from my family 
and friends, I could hardly graduate with the Academic Achievement Award. 
Looking back to my undergraduate years, it was enjoyable and fun, even 
though often loaded with assignments and examinations. I would like to 
thank the professors of the Department of Computer Science who are 
extremely important for my development, especially Professor Samuel 
Chanson, my FYP supervisor and a personal mentor, he has given our group 
many valuable advices on both FYP and life, at the same time he has shown 
his patience, kindness and caring to his students. ,Congratulations to the awardees and we wish them all the best in their 
career path and further studies!",Academic Achievement Award
,"Founded in 1970, the ACM (Association for Computing Machinery) 
International Collegiate Programming Contest (ICPC) has been regarded as 
an innovative initiative to assist in the development of top students in 
the emerging field of computer science.,The contest has been based at Baylor University since the 1980s, with 
IBM's sponsorship beginning 1997. Up to now, more than 10,000 participants 
of the contest are coming from over 1,300 universities from 68 countries 
on six continents.,Within the limited time, participants are being challenged for their 
creativity, teamwork, and innovation in building new software 
programs.,The contest is comprised of 4 levels of competitions:,The Department of Computer Science has sent out 4 teams to participate 
in the Regional Contests which were held in Manila and Guangzhou. And all 
of them ranked high in the contests,",ACM International Collegiate Programming Contest 2004
,", PhD graduate of the Department of 
Computer Science, has been awarded the Hong Kong Young Scientist Award of 
the Hong Kong Institute of Science (HKIS). A prize presentation ceremony 
was held on November 8, 2003 at the Science Park, the 11th Annual 
Conference of HKIS. ""I would like to thank the department and the 
university for providing the best research and study environment, and 
thank the professors for their tremendous help in the past four years. I 
truly believe that we can do and we are doing the first-class research in 
Hong Kong"", Dr. Liu said.,The award is an evidence of research excellence in science and 
technology, and an indication of the potentiality to become a good 
scientist or engineer in sought. This is the second time for the students 
of our department to be awarded the Hong Kong Scientist Award. Last Year, 
,, PhD graduate of the Department, also 
received the same award in Physical/Mathematical Science. And he is now 
the Assistant Professor in the Department of Computer Science at the City 
University of Hong Kong.,Hong Kong Young Scientist Award is established to honor young 
scientists and engineers who have outstanding performance in their field 
of study. Three awards are given out each year in the fields of Physical/ 
Mathematical Science, Life Science and Engineering Science. And each award 
will be given a cash prize and a certificate of recognition. A plaque of 
recognition will also be given to the recipient's supervisor.,Dr. Liu is being awarded for his work in adaptive video multicast. He 
received a BEng in Computer Science Degree at Tsinghua University and the 
PhD in Computer Science at HKUST in July 2003 under the supervision of ,. Dr. Liu is currently an Assistant Professor 
in the Department of Computer Science and Engineering at the Chinese 
University of Hong Kong, he is also a Microsoft Research Fellow, and 
conducted research at Microsoft Research Asia, in the summers of 2000, 
2001 and 2002.",Hong Kong Young Scientist Award 2003
,", PhD candidate of the Department 
of Computer Science, has received the Best PhD Paper Award of the 5th ACM 
Postgraduate Research Day. Mr. Zhang has won the 1st price of HK$2,500 and 
the award winning presentation was entitled “Provisioning Virtual 
Private Networks In the Hose Model with Delay Requirements”, which 
is co-supervised by , and 
,Last year, Miss Liu Jing, PhD candidate of the Department, also won the 
same award for the 4th ACM Postgraduate Research Day.,There are 7 awards among a total of 40 papers, including 1 best paper 
award and 2 runner-ups for the MPhil and PhD group respectively, and 1 
best presentation award. Apart from the Best PhD Paper Award, 
,, MPhil candiate under supervision 
of ,, has received a merit in the 
MPhil group; and ,, PhD candidate 
under supervision of ,, has 
received a merit in the PhD group.,The Postgraduate Research Day is an annual event organized by the 
Association for Computing Machinery -- Hong Kong Chapter (ACM-HK). This 
year, it was held at the Chinese University of Hong Kong on 31st January 
2004. It aims at fostering an environment to promote closer interactions 
among postgraduates and for a better R&D awareness in Hong Kong. It 
provides an excellent opportunity for computer science/engineering 
postgraduates from all universities in Hong Kong to present their recent 
research findings, share their invaluable research experiences and ideas, 
gain exposure in conference, and foster collaborations.,ACM is the world's oldest and largest educational and scientific 
computing society. Since 1947, it has provided a vital forum for the 
exchange of information, ideas, and discoveries. Today, ACM serves a 
membership of more than 80,000 computing professionals in more than 100 
countries in all areas of industry, academia, and government.","Best PhD Paper Award,
The 5th ACM Postgraduate Research Day"
," is the most prestigious conference in the 
field of Computer Graphics and Interactive Techniques in the world. The 
conference will be held from August 8-12, 2004 in Los Angeles, California, 
USA this year.,Getting a research paper published in SIGGRAPH is the dream of every 
computer graphics graduate student. As far as we know, none of the local 
students from any tertiary institutions in Hong Kong has ever made their 
footprint in the conference. Two of our students has made their debut this 
year., and ,, PhD candidates of the Department of Computer Science, 
will publish their first (as well as the school's first) papers in the 
prestigious SIGGRAPH 2004. Both papers will go straight to the renowned 
ACM Transactions on Graphics.,Their works were completed in , while they were student interns under the mentorship of 
,. Mr. Li (a Microsoft 
Research Asia Fellow) and Mr. Jia are under the supervision of 
,. Both of them are supported 
by AoE/IT and RGC.,Mr. Li's ""Lazy Snapping"" is an interactive image cutout tool that 
separates coarse and fine scale processing, making object specification 
and detailed adjustment easily. Moreover, it provides instant visual 
feedback, snapping the cutout contour to the true object boundary 
efficiently despite the presence of ambiguous or low contrast edges.,Mr. Jia's ""Poisson Matting"" formulates the problem of natural matting 
as one of solving Poisson equations with the matte gradient field. By 
interactively manipulating this field using a number of filtering tools, 
the user can further improve Poisson matting results locally until he or 
she is satisfied.,SIGGRAPH is the annual conference organized by ACM SIGGRAPH, it 
provides graphic researchers, developers, creators, educators and 
practitioners with an opportunity to interact, exchange and share their 
expertise in the graphic world. The event is composed of a 5-day 
conference and 3-day exhibition. Every year, it attracts more than 20 
thousand computer graphics professionals from all over the world to gather 
for a program focuses on research, art, animation, games, interactivity 
and web graphics.","SIGGRAPH 2004: The 31st International Conference on Computer Graphics 
and Interactive Techniques"
," & , of the Department of Computer Science 
have been selected as the Best 10 Lecturers 2003-2004 which was organized 
by the student association - VERTEX, the House II Students 
Association.,Prof. Horner and Prof. Quan are two of the 10 recipients of the award. 
We are pleased to report that we have faculty members elected as best 
lecturers every year. Prof. Sam Chanson and Prof. Andrew Horner were two 
of the awardees last year, and it is even the 5th time for Prof. Horner to 
receive the award.,This election has been held for 9 consecutive years and it is one of 
the traditional functions at HKUST. It is an independent initiative of the 
students with the aim to provide undergraduate students a chance to 
express their compliment to their beloved lecturers, and to encourage 
lecturers' enthusiasm in quality teaching.,The election was held from 24th November to 5th December, 2003. A total 
of 2,422 students had voted in the election, therefore, the result is a 
true reflection of students' recognition. The presentation ceremony was 
held on 12th February 2004.",The Best 10 Lecturers Election 2003-2004
," and ,, PhD candidates of the Department, have been awarded 
Microsoft Research Asia Fellow 2003. An award presentation ceremony was 
held on 5th November 2003 in Beijing during Microsoft's Annual Event 
""Computing in the 21st Century"". This award is considered as a remarkable 
honor and recognition to a researcher's accomplishments. Over one hundred 
applicants had a very keen competition to fight for 29 awards. We are 
pleased to announce that our PhD candidates continue to do well in the 
competition. Last year, , 
(currently Assistant Professor in the Department of Computer Science and 
Engineering at the Chinese University of Hong Kong), , and , had 
also been selected as Microsoft Research Asia Fellow for the year 
2002.,Founded in November 1998, Microsoft Research (MSR) Asia has recruited 
over 140 full-time research scientists and over 200 visiting scientists 
and students from China and around the world. In the past four years, they 
have established many programs to support basic research in local academia 
and foster alliances with universities and industry in China and other 
Asian countries. Up to now, there are 59 recipients of Microsoft 
Fellowships awarded to distinguished students in more than 25 universities 
and research institutes.",Microsoft Fellowship Program 2003
,"Computer Science Alumni Association organized an Observation Tour to
Guangzhou on April 3, 2004. It is a 1-day-back trip, 11 alumni and executive
committee members have joined the tour.,The tour is organized with the following objectives,,The programme included the visits to ,, , and ,.,The tour is organized by the External Affairs Divisions of CSAA which is
headed by Mr. Almon Kwan, Vice-president (External Affairs), and Mr. John Poon,
Secretary of International Affairs, is the project manager of the trip. This is
the first trip of the year, and more observation trips of similar kind will be
organized in the coming months. If you are interested in knowing more, please
visit our alumni website: ,.,Let's share the feedback from the participants below,",Guangzhou Observation Tour
,"PhD Candidates: Mr. Haibo Hu, Miss Manli Zhu; MPhil Candidate: Mr. Wing Sing
Wong, PhD candidates of the
Department of Computer Science, and ,
a MPhil candidate, have formed the team ""Pegasus"" and joined the Microsoft
Imagine Cup 2004. The team has won the 4th Runner-up out of 20 teams from all
over Hong Kong. A trophy and HK$40,000 were presented to the winning team on
May 19, 2004 at the Imagine Cup Award Ceremony on Microsoft DevDays 2004 which
was held at the Grand Ballroom of Conrad Hong Kong Hotel, at the witness of
more than 600 audiences.,""Microsoft Imagine Cup 2004 gives us an invaluable chance to turn our
research idea into reality. We have devoted our effort to location-based
service and mobile computing research and are desperate to see if any of our
research ideas and results can be transformed into practical prototypes
applicable to daily life. The experience in Imagine Cup 2004 is definitely a
positive answer. We would like to thank Microsoftt Hong Kong for organizing
such a challenging competition for the students and researchers in Hong Kong.
In addition, we owe our thank to our department for her full support, and
,, our supervisor, for his valuable
advice and guidance throughout the competition"" the Pegasus team said.,This is the first time for Microsoft Hong Kong to launch the Imagine Cup in
Hong Kong. The winning project , is supervised by Prof. Dik Lun Lee.,""I am particularly happy that the students took the initiation to join this
competition. Within 2-3 weeks of time, they pulled together what they learnt
and materialized their ideas in a functional prototype. It is not just hard
work; it is the team work and the confidence that amazed me. I think the
Department must have done something right in providing the students with a
stimulating research environment,"" Prof Lee recounts a meeting where the
students presented their ideas to him.,i-Surround is a location-aware information publishing and subscribing
platform. Using location-aware techniques and intelligent information filtering
and ranking systems, it aims at transferring information to anyone who needs it
in a more efficient and effective way, while preserving user's privacy and
eliminating spam messages. The platform can support various client devices such
as PDAs, mobile/smart phones, notebooks and tablet PCs.,""Messages would be everywhere. Through i-Surround, we believe information
can virtually reach any user who needs it without having the user to ask for
it"" the , team said.,The inspiration behind Imagine Cup is to challenge the world's most creative
and tech-savvy university students to design the best new Web services
solutions. All around the world, .NET programmers are proving that you can go
from idea to prototype in less time than ever before. Both undergraduate and
postgraduate students are eligible for the event. The Imagine Cup 2004 contains
four categories, Software Design Invitational: local competition, Rendering
Invitational: Online worldwide direct registration, Algorithm Invitational:
Online worldwide direct registration, Short Films Invitational: Online
worldwide direct registration.,The Software Design Invitational is to highlight and reward excellence in
the field of student programming. This year the focus is on teams of up to four
students working with mobile devices, smart systems, and .NET to create
software solutions that improve everyday life. This is the only category that
has a local competition.",Microsoft Imagine Cup 2004
," fresh graduate of BEng in
Computer Science, and ,, fresh
graduate of BEng in Computer Engineering, have been awarded champion of the
Hang Seng Innovative Design Competition 2004, which were held on June 19, 2004
(Sat) at The Hong Kong University of Science and Technology. The competition is
amongst the best Final Year Projects in the School of Engineering at HKUST.,The award-winning project is ""Application of image processing techniques to
tissue texture analysis and image compression"", under supervision of
, of the Department. This project is
considered to be the first semi-automatic software for cirrhosis check in Hong
Kong, and the accurracy is up to 80%. It is planned that the technology will
have a clinical test at Whales Hospital.,""It is so exciting that we could win the champion of this competition. I
think the project itself is meaningful, which could contribute to the clinical
aspect. I wish to thank our advisor, Prof. Albert Chung, and our clinical
consultant, Dr.Simon Yu (Radiologist from the Prince of Wales Hospital, Hong
Kong), for their support and advise in this project."", the winners said.,According to World Health Organization (WHO), cirrhosis causes hundreds of
thousands of deaths worldwide each year. Nowadays, cirrhosis detection mainly
relies on manual analysis of ultrasonic liver images and histological analysis
of patients' liver samples. Detection results are,
highly dependent on the experience and ability of sonographers to observe
certain confusing textural characteristics. Histological analysis is more
accurate, but it is invasive and involves complicated processes which require
much more time and resources.,""Severity information plays an essential role in the cirrhosis medical
treatment. In this project, we aim to provide a semi-automatic three severity
levels cirrhosis classification system. Ultrasound scanning machine calibration
and machine dependent parameters are not required by our system. Without
machine dependent measurement, this classification system is able to deliver
classification result quickly after basic training procedure. With the aid of
this system, patients will be able to obtain preliminary diagnostic results
within several minutes once ultrasonic liver scan is available"", Mr. Law
said.,Ten-fold Stratified Cross-validation is performed for accuracy testing. It
is proved that the system can provide up to 81% accuracy for classification of
""with-or-without cirrhosis"", and 71% accuracy for classification of ""no, early
or advanced cirrhosis"".,The project has been reported in",Hang Seng Innovative Design Competition 2004
,"Tang Man Wai (CPEG Yr. 3) and Wu Sui Hin (CPEG Yr.3),The Final Year Project ""PDA-based Tour Guide and Planner for Hong Kong"",
developed by , and supervised by
,, has received the Best Project
Idea Award and Certificate of Distinction of the Intervearsity Technologies
Exposition and Conference (IiTEC) 2004. A prize presentation ceremony was held
on 3rd July, 2004 at Hong Kong Productivity Council which was followed by a
2-day exhibition and presentation of the projects participating in the
event.,""It's our pleasure to join the IiTEC 2004 and we are delighted to receive
The Best Project Idea Award and the Certificate of Distinction. The award
encourages us to further devote ourselves in application development. We would
like to take this opportunity to express our sincere gratitute to our FYP
advisor, Prof. Samuel Chanson, and Cyberspace Center, for providing valuable
guidance in the project."", the team said.,This project is a real-world application using PDA with Pocket PC 2002/2003
operating system as device. Similar initiatives are already used in France,
Korea and Macau. It aims at developing an PDA-based electronic ""In-transit
Guide"" for tourists or transit passengers in Hong Kong and provides useful
information with interactive capabilities for users. They have made use of
multimedia presentations such as text, sound, images, maps, and videos to
create greater impact on tourists in the shortest time. Another part, called
,, is capable of scheduling tours for
users based on their time constraints and preferences. Users can specify their
personal preferences, with the scoring method and graph-based technique, to
generate suggested tour routes which can maximize their own satisfaction and
minimize the required travel time. Backend server modules are built to support
data maintenance and application deployment. This project has been adopted by
the , to explore potential
application in electronic travelling guides.,Last year, another FYP ,, developed by Hung Lau Yung, Ip Tak Shun and Siu
Po Wa had received ""The Best Application of Internet Technologies Award"" of
IiTEC 2003. This project was also supervised by Prof. Samuel Chanson.,Intervarsity Internet Technologies Exposition and Conference (IiTEC) is an
annual event organized for talented students from different tertiary
institutions to display their ingenious Final Year Projects (FYP) in a
high-profile and public occasion to capture business opportunities created
therein. IiTEC 2003 was organized by the Junior Committee of Internet
Professionals Association (iProA) and co-organized by six local tertiary
institutions.,News Report of the Event:","Intervarsity Internet Technologies Exposition and Conference (IiTEC)
2004"
